# Boeing high speed natural laminar flow airfoil from a European patent (EP 0111785A1)
   1.0000000000   0.0010000000
   0.9978953415   0.0015051754
   0.9953469638   0.0021084036
   0.9923571467   0.0028054889
   0.9889285649   0.0035923855
   0.9850642856   0.0044654344
   0.9807677659   0.0054215271
   0.9760428494   0.0064581731
   0.9708937631   0.0075734633
   0.9653251134   0.0087659298
   0.9593418821   0.0100343124
   0.9529494217   0.0113772565
   0.9461534511   0.0127929698
   0.9389600500   0.0142788745
   0.9313756536   0.0158312910
   0.9234070470   0.0174451877
   0.9150613590   0.0191140263
   0.9063460556   0.0208297240
   0.8972689337   0.0225827413
   0.8878381138   0.0243622948
   0.8780620326   0.0261566812
   0.8679494360   0.0279536873
   0.8575093707   0.0297410551
   0.8467511766   0.0315069606
   0.8356844780   0.0332404700
   0.8243191752   0.0349319314
   0.8126654356   0.0365732712
   0.8007336850   0.0381581719
   0.7885345974   0.0396821157
   0.7760790863   0.0411422957
   0.7633782944   0.0425374049
   0.7504435840   0.0438673249
   0.7372865266   0.0451327479
   0.7239188925   0.0463347670
   0.7103526406   0.0474744755
   0.6965999073   0.0485526135
   0.6826729959   0.0495692937
   0.6685843656   0.0505238309
   0.6543466201   0.0514146891
   0.6399724966   0.0522395472
   0.6254748544   0.0529954732
   0.6108666631   0.0536791865
   0.5961609912   0.0542873767
   0.5813709948   0.0548170446
   0.5665099048   0.0552658286
   0.5515910163   0.0556322792
   0.5366276757   0.0559160529
   0.5216332694   0.0561180037
   0.5066212114   0.0562401608
   0.4916049318   0.0562855937
   0.4765978640   0.0562581781
   0.4616134337   0.0561622843
   0.4466650459   0.0560024204
   0.4317660736   0.0557828669
   0.4169298456   0.0555073387
   0.4021696343   0.0551787106
   0.3874986446   0.0547988351
   0.3729300010   0.0543684706
   0.3584767368   0.0538873301
   0.3441517820   0.0533542447
   0.3299679519   0.0527674273
   0.3159379354   0.0521248084
   0.3020742838   0.0514244116
   0.2883893997   0.0506647280
   0.2748955256   0.0498450514
   0.2616047334   0.0489657374
   0.2485289129   0.0480283585
   0.2356797620   0.0470357353
   0.2230687757   0.0459918389
   0.2107072357   0.0449015702
   0.1986062008   0.0437704364
   0.1867764967   0.0426041553
   0.1752287063   0.0414082260
   0.1639731604   0.0401875093
   0.1530199283   0.0389458610
   0.1423788087   0.0376858580
   0.1320593214   0.0364086472
   0.1220706982   0.0351139383
   0.1124218750   0.0338001443
   0.1031214838   0.0324646631
   0.0941778446   0.0311042755
   0.0855989586   0.0297156254
   0.0773925006   0.0282957370
   0.0695658120   0.0268425203
   0.0621258946   0.0253552138
   0.0550794044   0.0238347191
   0.0484326450   0.0222837900
   0.0421915629   0.0207070518
   0.0363617412   0.0191108402
   0.0309483954   0.0175028668
   0.0259563682   0.0158917319
   0.0213901257   0.0142863204
   0.0172537528   0.0126951229
   0.0135509500   0.0111255282
   0.0102850297   0.0095831193
   0.0074589137   0.0080709719
   0.0050751303   0.0065888441
   0.0031358120   0.0051317917
   0.0016426937   0.0036861664
   0.0005971113   0.0022099224
   0.0000000000   0.0000000000
   0.0005971113  -0.0020816175
   0.0016426937  -0.0034554532
   0.0031358120  -0.0047792341
   0.0050751303  -0.0060877735
   0.0074589137  -0.0073910684
   0.0102850297  -0.0086931119
   0.0135509500  -0.0099956916
   0.0172537528  -0.0112995287
   0.0213901257  -0.0126047069
   0.0259563682  -0.0139108602
   0.0309483954  -0.0152172667
   0.0363617412  -0.0165229012
   0.0421915629  -0.0178264677
   0.0484326450  -0.0191264201
   0.0550794044  -0.0204209791
   0.0621258946  -0.0217081458
   0.0695658120  -0.0229857165
   0.0773925006  -0.0242513006
   0.0855989586  -0.0255023443
   0.0941778446  -0.0267361619
   0.1031214838  -0.0279499756
   0.1124218750  -0.0291409639
   0.1220706982  -0.0303063188
   0.1320593214  -0.0314433068
   0.1423788087  -0.0325493318
   0.1530199283  -0.0336219943
   0.1639731604  -0.0346591393
   0.1752287063  -0.0356588886
   0.1867764967  -0.0366196499
   0.1986062008  -0.0375400980
   0.2107072357  -0.0384191239
   0.2230687757  -0.0392557519
   0.2356797620  -0.0400490242
   0.2485289129  -0.0407978601
   0.2616047334  -0.0415008952
   0.2748955256  -0.0421563126
   0.2883893997  -0.0427616787
   0.3020742838  -0.0433137980
   0.3159379354  -0.0438086012
   0.3299679519  -0.0442410820
   0.3441517820  -0.0446052932
   0.3584767368  -0.0448944121
   0.3729300010  -0.0451008805
   0.3874986446  -0.0452166181
   0.4021696343  -0.0452333049
   0.4169298456  -0.0451427216
   0.4317660736  -0.0449371328
   0.4466650459  -0.0446096926
   0.4616134337  -0.0441548503
   0.4765978640  -0.0435687324
   0.4916049318  -0.0428494755
   0.5066212114  -0.0419974900
   0.5216332694  -0.0410156334
   0.5366276757  -0.0399092817
   0.5515910163  -0.0386862896
   0.5665099048  -0.0373568397
   0.5813709948  -0.0359331851
   0.5961609912  -0.0344292997
   0.6108666631  -0.0328604536
   0.6254748544  -0.0312427364
   0.6399724966  -0.0295925556
   0.6543466201  -0.0279261365
   0.6685843656  -0.0262590504
   0.6826729959  -0.0246057962
   0.6965999073  -0.0229794547
   0.7103526406  -0.0213914308
   0.7239188925  -0.0198512928
   0.7372865266  -0.0183667099
   0.7504435840  -0.0169434842
   0.7633782944  -0.0155856667
   0.7760790863  -0.0142957414
   0.7885345974  -0.0130748599
   0.8007336850  -0.0119231049
   0.8126654356  -0.0108397615
   0.8243191752  -0.0098235771
   0.8356844780  -0.0088729934
   0.8467511766  -0.0079863351
   0.8575093707  -0.0071619497
   0.8679494360  -0.0063982923
   0.8780620326  -0.0056939579
   0.8878381138  -0.0050476666
   0.8972689337  -0.0044582101
   0.9063460556  -0.0039243715
   0.9150613590  -0.0034448314
   0.9234070470  -0.0030180727
   0.9313756536  -0.0026422959
   0.9389600500  -0.0023153547
   0.9461534511  -0.0020347184
   0.9529494217  -0.0017974650
   0.9593418821  -0.0016003056
   0.9653251134  -0.0014396372
   0.9708937631  -0.0013116190
   0.9760428494  -0.0012122657
   0.9807677659  -0.0011375495
   0.9850642856  -0.0010835037
   0.9889285649  -0.0010463205
   0.9923571467  -0.0010224370
   0.9953469638  -0.0010086064
   0.9978953415  -0.0010019512
   1.0000000000  -0.0010000000
